user_index,user_total_rows,utility_popularity,coherence,history_length_mean,v1_ndcg10,core_ndcg10,delta_ndcg10,v1_hit10,core_hit10,delta_hit10,v1_rank,core_rank,delta_rank,utility_bucket
6713,4,0.35999999940395355,0.8787450045347214,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4576.75,2864.25,-1712.5,Q1
6714,4,0.8549999743700027,0.9083060026168823,10.0,0.15773244202136993,0.15773244202136993,0.0,0.25,0.25,0.0,513.0,315.75,-197.25,Q4
6715,4,0.2524999976158142,0.8811276704072952,10.0,0.0,0.18292664736509323,-0.18292664736509323,0.0,0.5,-0.5,367.75,236.0,-131.75,Q1
6716,4,0.5224999925121665,0.8821095824241638,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2203.25,1227.25,-976.0,Q2
6717,4,0.7574999779462814,0.8960278928279877,10.0,0.0,0.0,0.0,0.0,0.0,0.0,951.0,954.0,3.0,Q4
6718,4,0.5699999891221523,0.9107397049665451,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3020.75,1083.75,-1937.0,Q2
6719,4,0.5874999761581421,0.8837704062461853,10.0,0.0,0.0,0.0,0.0,0.0,0.0,725.0,745.25,20.25,Q3
6720,4,0.6924999877810478,0.9085916876792908,10.0,0.0,0.0,0.0,0.0,0.0,0.0,833.5,780.25,-53.25,Q3
6721,4,0.43749999068677425,0.8842130601406097,10.0,0.0,0.0,0.0,0.0,0.0,0.0,669.25,441.75,-227.5,Q1
6722,4,0.689999982714653,0.8997832834720612,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1110.75,457.0,-653.75,Q3
6723,4,0.3987499848008156,0.8856116682291031,10.0,0.10766914486885071,0.0,0.10766914486885071,0.25,0.0,0.25,278.25,291.0,12.75,Q1
6724,4,0.28999998699873686,0.8788028061389923,10.0,0.0,0.23298994451761246,-0.23298994451761246,0.0,0.5,-0.5,698.0,324.5,-373.5,Q1
6725,4,0.21499999007210135,0.8728504627943039,10.0,0.0,0.08905179798603058,-0.08905179798603058,0.0,0.25,-0.25,926.25,493.75,-432.5,Q1
6726,4,0.6912499815225601,0.8975764811038971,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1644.5,2162.5,518.0,Q3
6727,4,0.5374999791383743,0.9018391221761703,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1534.25,1304.25,-230.0,Q2
6728,4,0.353749989066273,0.876990556716919,10.0,0.08905179798603058,0.10766914486885071,-0.01861734688282013,0.25,0.25,0.0,111.25,163.0,51.75,Q1
6729,4,0.40749998949468136,0.8760537505149841,10.0,0.07525750249624252,0.15773244202136993,-0.08247493952512741,0.25,0.25,0.0,418.75,293.5,-125.25,Q1
6730,4,0.3724999944679439,0.8898223489522934,10.0,0.0,0.10766914486885071,-0.10766914486885071,0.0,0.25,-0.25,848.25,873.0,24.75,Q1
6731,4,0.7499999850988388,0.9121145606040955,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2846.0,3281.75,435.75,Q4
